objid,ra,dec,u,g,r,i,z,distance
5.82094E+17,229.025042,-0.122201,21.405,20.361,19.946,19.786,19.779,1.115909
5.82094E+17,229.026206,-0.122339,23.802,22.491,22.18,21.904,21.757,1.169074
5.82094E+17,229.028418,-0.095324,22.115,20.825,20.458,20.332,20.094,1.214469
5.82094E+17,229.029713,-0.09451,22.723,21.355,21.059,20.881,20.871,1.305577
5.82094E+17,229.027121,-0.096149,22.876,21.874,21.434,21.539,21.303,1.123029
5.82094E+17,228.996612,-0.113452,22.318,21.284,20.915,20.912,20.543,1.021126
5.82094E+17,228.995328,-0.111626,22.841,21.795,21.524,21.607,20.923,1.068305
5.82094E+17,228.99584,-0.112224,23.559,22.89,22.367,22.164,22.251,1.045836
5.82094E+17,229.001122,-0.123302,22.038,21.271,20.932,20.822,20.67,1.14546
5.82094E+17,229.002538,-0.091948,22.283,21.671,21.234,21.081,20.856,1.153247
5.82094E+17,229.014675,-0.126859,21.798,21.04,20.718,20.613,20.667,1.125159
5.82094E+17,229.016757,-0.087201,22.047,21.271,20.862,20.726,20.757,1.282099
5.82094E+17,229.015512,-0.087923,23.136,21.972,21.713,21.482,21.371,1.227463
5.82094E+17,229.013567,-0.087546,22.858,22.235,21.705,21.531,21.001,1.240095
5.82094E+17,229.014464,-0.087073,23.069,21.968,21.72,21.576,21.301,1.271567
5.82094E+17,229.018561,-0.087407,24.606,22.38,22.021,21.786,21.223,1.294556
5.82094E+17,229.017943,-0.085965,23.34,22.464,22.001,21.893,21.36,1.369298
5.82094E+17,229.01933,-0.087083,24.486,22.618,22.166,22.299,21.906,1.326207
5.82094E+17,229.018862,-0.088169,24.703,23.66,22.957,22.359,21.216,1.255675
5.82094E+17,228.993241,-0.106782,22.819,21.474,20.98,20.755,20.783,1.176605
5.82094E+17,228.994804,-0.122295,24.05,22.627,22.282,22.18,22.45,1.371555
5.82094E+17,229.006293,-0.129212,23.822,23.227,23.068,22.913,22.059,1.319803
5.82094E+17,229.006583,-0.090808,22.877,21.908,21.521,21.306,21.181,1.108154
5.82094E+17,229.008164,-0.086478,23.266,22.353,21.843,21.702,22.002,1.332686
5.82094E+17,229.009322,-0.086214,25.069,23.236,22.692,22.498,21.804,1.335579
5.82094E+17,229.010852,-0.129423,23.879,22.822,22.173,22.047,21.746,1.278734
5.82094E+17,229.010136,-0.130885,24.404,23.447,22.491,22.55,22.612,1.370458
5.82094E+17,229.012737,-0.091408,23.386,22.6,22.153,22.1,21.256,1.007541
5.82094E+17,229.014179,-0.090851,24.739,23.186,23.029,22.766,22.974,1.044252
5.82094E+17,229.014739,-0.130239,24.306,22.899,22.144,22.187,22.258,1.327463
5.82094E+17,229.022033,-0.125931,25.037,22.78,22.462,22.523,22.572,1.199465
5.82094E+17,229.023172,-0.125519,24.658,23.504,22.873,22.864,22.231,1.211219
5.82094E+17,229.02221,-0.088732,23.335,22.494,22.107,21.702,21.665,1.297366
5.82094E+17,229.023669,-0.121122,23.188,23.086,22.842,22.649,22.241,1.013117
5.82094E+17,229.025621,-0.092627,23.853,23.027,23.097,22.58,21.755,1.210273
5.82094E+17,229.025344,-0.094746,22.899,22.297,21.897,21.527,20.971,1.10367
5.82094E+17,229.027509,-0.09118,24.714,23.366,22.234,22.355,22.217,1.349695
5.82094E+17,229.02644,-0.091427,24.168,22.963,22.271,22.553,22.026,1.297143
5.82094E+17,229.032214,-0.113342,23.128,22.401,21.689,21.594,22.366,1.20499
5.82094E+17,229.033004,-0.098102,22.926,21.937,21.329,21.081,21.159,1.355225
5.82094E+17,229.0349,-0.11299,24.729,22.877,22.386,22.609,22.105,1.356797
5.82094E+17,228.996288,-0.123744,23.434,23.48,22.927,23.079,21.809,1.360614
5.82094E+17,229.01583,-0.089867,24.316,24.399,22.881,21.948,21.144,1.114883
5.82094E+17,228.983779,-0.101609,18.62,16.403,15.519,15.13,14.918,1.785614
5.82094E+17,228.981554,-0.106139,22.302,21.502,21.103,20.959,20.96,1.878847
5.82094E+17,228.985271,-0.10174,22.683,21.871,21.441,21.557,22.238,1.696626
5.82094E+17,228.988416,-0.114783,18.969,17.743,17.6,17.527,17.517,1.515424
5.82094E+17,228.99018,-0.119464,21.053,19.799,19.19,18.961,18.857,1.516192
5.82094E+17,228.988796,-0.113402,22.317,21.32,20.937,20.861,20.642,1.473655
5.82094E+17,228.989381,-0.114163,22.248,21.548,21.081,20.936,20.474,1.449955
5.82094E+17,228.98927,-0.118488,23.241,22.156,21.746,21.715,21.119,1.540851
5.82094E+17,228.989402,-0.116104,23.771,22.124,21.635,21.669,21.985,1.481825
5.82094E+17,228.988293,-0.111528,23.737,22.106,21.764,21.766,21.839,1.483943
5.82094E+17,228.988661,-0.117824,23.016,22.478,22.111,21.825,21.912,1.559208
5.82094E+17,228.99092,-0.116902,23.71,24.842,23.219,21.892,20.922,1.412779
5.82094E+17,228.990783,-0.118001,24.285,23.001,22.318,22.161,22.476,1.446008
5.82094E+17,228.989558,-0.117142,25.306,23.246,23.458,23.564,22.095,1.494193
5.82094E+17,228.992682,-0.096576,18.78,17.508,17.402,17.36,17.392,1.394075
5.82094E+17,228.990853,-0.098244,18.824,17.915,17.577,17.427,17.373,1.445957
5.82094E+17,228.995368,-0.088117,18.387,16.129,15.209,14.797,14.583,1.595595
5.82094E+17,228.996364,-0.089755,18.921,17.661,17.355,17.222,17.194,1.482323
5.82094E+17,228.993599,-0.086545,21.468,20.098,19.516,19.245,19.145,1.736493
5.82094E+17,228.998493,-0.08866,21.985,20.853,20.523,20.351,20.21,1.453065
5.82094E+17,228.994609,-0.089315,22.238,21.148,20.795,20.642,21.536,1.573282
5.82094E+17,228.993859,-0.085336,22.59,21.477,21.128,20.901,20.967,1.781447
5.82094E+17,228.995807,-0.09132,23.689,22.643,22.227,21.611,21.419,1.437123
5.82094E+17,228.996131,-0.134807,20.591,19.316,18.742,18.485,18.349,1.883804
5.82094E+17,228.998234,-0.135991,23.268,22.363,21.74,21.651,21.665,1.882595
5.82094E+17,229.037608,-0.108545,20.848,19.601,19.032,18.784,18.683,1.488602
